Event Data Level Sequence In Catalog,Unq Users level start,Event Data Unq Users Level Started (Before X Days),Unq Users level complete,Event Data Unq Users Level Completed (Before X Days),Unq Users level fail,Event Data # Level Start Events,Event Data # Level Fail Events,Event Data # Level Complete Events,# Level Steps,Avg Stacks Placed to Complete,Unq Users Level complete (1st attempt),Unq Users Level complete (2nd attempt),Unq Users Level complete (3+ attempt),Unq Users level step,Avg Stacks Placed to Fail,Avg goal complete % - Lvl Fail,# Rv Slot Unlock,# powerup used,unq users used rv slot,Coin Sink,# Level Pre Fail Events,Payers,Total Customer,Median Coin Balance,Coin Balance Below 20,Booster Balance 0,Total Level Revenue,Total Level RV Revenue,Total Level Ad Revenue,IAP Revenue,Funnel %,Level Churn %,Level Fail %,Fail / User,Absolute Level Fail % (Unique),Retry Ratio,Lvl complete % (1st Attempt),Lvl complete % (2nd Attempt),Lvl complete % (3+ Attempt),Unique Level Fail %,Avg Play on used,Avg Powerup Used,Rv Slot % (unique),Level Pre Fail %,Total Revenue / User,Total RV Revenue / User,Total Ad Revenue / User,IAP Revenue / User,ARPPU
289,"118,982","109,443","114,899","105,627","56,662","382,165","227,684","122,447","1,483,810",83.9,"57,303","18,448","41,537","109,761",41.0,39.0,"97,032","315,955","39,082","1,640,045","284,171",367,"7,753",45,"28,111","63,353","$7,182.86","$2,333.70","$4,860.33","$2,854.78",13.4%,3.5%,59.6%,1.9,92.3%,3.3,48.2%,15.5%,34.9%,47.6%,12.47,0.83,32.8%,74.4%,$0.06,$0.02,$0.04,$0.02,$0.93
290,"120,854","111,432","115,842","106,485","55,807","388,349","225,058","123,161","1,566,455",105.6,"59,386","19,271","39,709","111,923",65.2,41.0,"67,984","288,279","35,168","1,497,035","286,687",277,"7,944",44,"30,195","65,114","$8,247.18","$2,606.01","$5,464.11","$1,981.79",13.5%,4.4%,58.0%,1.9,92.6%,3.4,49.1%,15.9%,32.9%,46.2%,12.96,0.74,29.1%,73.8%,$0.07,$0.02,$0.05,$0.02,$1.04
291,"99,835","90,982","98,045","89,292","24,976","158,824","49,899","98,924","591,497",88.9,"69,900","15,426","12,863","84,447",55.6,48.1,"35,608","104,744","23,909","569,730","67,451",78,"7,005",51,"19,807","50,783","$4,399.73","$1,369.54","$2,752.30",$592.16,11.4%,1.9%,31.4%,0.5,84.6%,1.6,70.0%,15.5%,12.9%,25.0%,5.92,0.66,23.9%,42.5%,$0.04,$0.01,$0.03,$0.01,$0.63
292,"119,388","109,884","114,353","104,986","60,188","457,087","295,190","121,614","1,770,260",92.1,"54,250","17,084","45,463","111,790",44.9,40.7,"123,794","353,241","50,455","1,797,070","358,478",407,"7,841",46,"26,564","62,045","$7,270.16","$2,440.07","$5,543.47","$3,469.40",13.3%,4.5%,64.6%,2.5,93.6%,4.0,45.4%,14.3%,38.1%,50.4%,14.83,0.77,42.3%,78.4%,$0.06,$0.02,$0.05,$0.03,$0.93
293,"118,747","109,329","114,917","105,632","46,431","305,266","156,542","122,207","1,145,942",109.1,"66,801","18,897","31,439","108,185",43.2,48.0,"76,077","224,858","35,517","1,298,470","191,745",192,"7,795",47,"26,646","61,915","$7,614.90","$2,417.61","$4,640.77","$1,484.90",13.4%,3.4%,51.3%,1.3,91.1%,2.7,56.3%,15.9%,26.5%,39.1%,9.65,0.74,29.9%,62.8%,$0.06,$0.02,$0.04,$0.01,$0.98
294,"120,516","110,916","115,665","106,158","51,472","383,734","226,196","122,892","1,400,370",90.4,"63,670","18,536","35,578","110,286",47.4,50.8,"67,734","244,259","31,494","1,414,860","275,885",231,"7,831",46,"27,508","62,859","$6,580.50","$2,172.02","$5,124.66","$1,792.49",13.5%,4.3%,58.9%,1.9,91.5%,3.3,52.8%,15.4%,29.5%,42.7%,11.62,0.64,26.1%,71.9%,$0.05,$0.02,$0.04,$0.01,$0.84
295,"99,633","90,733","98,227","89,444","17,591","134,867","28,655","99,110","472,763",98.9,"77,487","13,467","7,385","82,824",52.9,46.3,"29,517","78,363","20,416","438,630","39,485",59,"6,977",54,"17,834","48,220","$4,029.74","$1,232.08","$2,428.84",$521.32,11.4%,1.4%,21.2%,0.3,83.1%,1.4,77.8%,13.5%,7.4%,17.7%,4.75,0.58,20.5%,29.3%,$0.04,$0.01,$0.02,$0.01,$0.58
296,"119,955","110,471","115,145","105,824","55,738","376,278","220,443","122,470","1,494,210",149.7,"58,814","18,930","39,861","112,051",53.3,43.0,"85,785","303,177","43,108","1,770,385","273,288",289,"7,937",49,"23,890","58,918","$5,629.44","$1,781.24","$4,457.15","$2,449.78",13.4%,4.2%,58.6%,1.8,93.4%,3.3,49.0%,15.8%,33.2%,46.5%,12.46,0.81,35.9%,72.6%,$0.05,$0.01,$0.04,$0.02,$0.71
297,"118,784","109,284","115,655","106,264","38,404","260,510","116,653","123,105","933,056",88.3,"75,243","18,202","24,545","104,790",45.0,50.5,"63,346","191,659","32,300","1,152,040","146,143",160,"7,813",52,"24,566","58,949","$6,426.16","$2,164.69","$4,164.13","$1,056.31",13.5%,2.8%,44.8%,1.0,88.2%,2.3,63.3%,15.3%,20.7%,32.3%,7.86,0.74,27.2%,56.1%,$0.05,$0.02,$0.04,$0.01,$0.82
298,"119,048","109,621","115,639","106,253","43,726","277,733","129,841","123,147","1,088,555",115.0,"69,646","19,192","28,933","107,965",54.4,49.4,"77,245","222,904","41,486","1,317,985","162,588",175,"7,845",52,"23,852","58,371","$5,149.13","$1,711.51","$3,829.07","$1,310.14",13.5%,3.1%,46.8%,1.1,90.7%,2.4,58.5%,16.1%,24.3%,36.7%,9.14,0.80,34.8%,58.5%,$0.04,$0.01,$0.03,$0.01,$0.66
299,"118,254","108,683","115,606","106,116","43,228","250,117","110,116","122,920","839,450",63.3,"70,236","20,202","27,326","103,925",38.0,35.4,"67,156","174,995","37,399","1,032,025","135,778",142,"7,767",55,"22,805","57,402","$4,930.15","$1,820.18","$3,619.10",$878.51,13.5%,2.4%,44.0%,0.9,87.9%,2.2,59.4%,17.1%,23.1%,36.6%,7.10,0.70,31.6%,54.3%,$0.04,$0.02,$0.03,$0.01,$0.63
300,"122,613","113,034","116,303","106,690","55,602","460,503","290,309","123,806","1,629,155",88.6,"61,339","19,006","38,108","112,829",50.9,49.6,"95,611","240,868","34,691","1,271,785","345,285",181,"8,085",55,"25,226","60,193","$6,893.75","$2,298.20","$5,584.79","$1,395.02",13.6%,5.6%,63.0%,2.4,92.0%,4.0,50.0%,15.5%,31.1%,45.3%,13.29,0.52,28.3%,75.0%,$0.06,$0.02,$0.05,$0.01,$0.85
301,"100,220","91,204","97,962","89,090","32,365","231,239","118,183","98,848","772,628",47.4,"64,430","10,811","22,923","82,304",35.2,45.0,"44,053","147,349","20,959","888,090","148,542",132,"7,085",58,"18,410","47,159","$4,645.89","$1,694.19","$3,442.65",$952.57,11.4%,2.3%,51.1%,1.2,82.1%,2.4,64.3%,10.8%,22.9%,32.3%,7.71,0.64,20.9%,64.2%,$0.05,$0.02,$0.03,$0.01,$0.66
302,"99,319","90,328","96,915","88,179","27,231","205,581","91,910","97,761","801,163",98.5,"67,771","10,738","18,557","84,541",62.7,48.1,"54,400","173,554","28,199","1,029,900","117,850",182,"7,029",57,"17,263","46,015","$3,839.05","$1,195.63","$2,704.67","$1,286.01",11.3%,2.4%,44.7%,0.9,85.1%,2.1,68.2%,10.8%,18.7%,27.4%,8.07,0.84,28.4%,57.3%,$0.04,$0.01,$0.03,$0.01,$0.55
303,"111,989","103,752","109,039","100,795","28,890","265,557","131,730","115,204","817,672",74.2,"80,137","8,464","22,600","93,805",32.7,22.9,"39,992","118,795","18,318","755,760","151,277",78,"7,146",59,"19,587","53,232","$4,831.21","$1,450.24","$3,392.35",$585.18,12.7%,2.9%,49.6%,1.2,83.8%,2.4,71.6%,7.6%,20.2%,25.8%,7.30,0.45,16.4%,57.0%,$0.04,$0.01,$0.03,$0.01,$0.68
304,"112,128","103,779","109,734","101,406","21,972","198,192","66,418","115,900","628,240",56.9,"86,366","10,654","14,582","89,941",64.7,64.6,"36,494","104,760","16,667","599,680","81,729",81,"7,135",65,"17,120","50,868","$3,217.71",$993.57,"$2,510.58",$678.10,12.8%,2.3%,33.5%,0.6,80.2%,1.8,77.0%,9.5%,13.0%,19.6%,5.60,0.53,14.9%,41.2%,$0.03,$0.01,$0.02,$0.01,$0.45
305,"100,020","90,951","97,787","88,858","31,815","209,964","97,294","98,680","758,308",85.3,"63,998","13,704","20,262","85,580",39.8,28.2,"48,756","178,422","26,552","1,245,440","120,981",155,"7,066",65,"13,146","42,608","$3,200.79",$892.38,"$2,399.91","$1,235.40",11.4%,2.3%,46.3%,1.0,85.6%,2.1,64.0%,13.7%,20.3%,31.8%,7.58,0.85,26.5%,57.6%,$0.03,$0.01,$0.02,$0.01,$0.45
306,"117,970","108,364","114,954","105,497","42,539","267,140","123,047","122,341","1,057,744",119.9,"70,079","19,962","27,098","106,334",55.7,47.5,"64,841","217,631","34,865","1,328,365","155,835",147,"7,873",61,"21,123","55,240","$5,040.45","$1,711.88","$3,686.28","$1,441.32",13.4%,2.6%,46.1%,1.0,90.1%,2.3,59.4%,16.9%,23.0%,36.1%,8.97,0.81,29.6%,58.3%,$0.04,$0.01,$0.03,$0.01,$0.64
307,"119,624","110,032","115,597","105,976","40,311","314,775","160,597","123,048","1,148,024",83.1,"73,639","17,533","26,550","105,543",61.5,68.4,"75,537","217,134","31,432","1,320,360","194,177",175,"7,963",60,"23,002","56,397","$6,235.21","$2,069.88","$4,596.22","$1,233.96",13.5%,3.7%,51.0%,1.3,88.2%,2.7,61.6%,14.7%,22.2%,33.7%,9.60,0.69,26.3%,61.7%,$0.05,$0.02,$0.04,$0.01,$0.78
308,"100,027","90,890","97,909","88,919","27,642","173,886","63,181","98,772","661,759",108.9,"67,262","15,338","15,450","85,902",55.5,50.6,"38,996","134,603","23,298","920,080","80,819",94,"7,116",66,"16,060","44,268","$3,849.46","$1,225.26","$2,620.12",$743.97,11.4%,2.2%,36.3%,0.6,85.9%,1.8,67.2%,15.3%,15.4%,27.6%,6.62,0.77,23.3%,46.5%,$0.04,$0.01,$0.03,$0.01,$0.54
309,"117,601","107,956","113,666","104,287","46,684","371,057","219,593","121,258","1,314,942",73.2,"66,086","16,812","32,422","104,444",46.2,51.2,"89,413","260,334","41,533","1,489,140","269,185",223,"7,839",59,"22,757","56,288","$5,619.46","$1,902.43","$4,350.17","$1,724.64",13.2%,3.4%,59.2%,1.9,88.8%,3.3,56.2%,14.3%,27.6%,39.7%,11.18,0.70,35.3%,72.5%,$0.05,$0.02,$0.04,$0.01,$0.72
310,"119,221","109,669","114,037","104,582","47,371","363,559","202,044","121,373","1,466,760",123.4,"65,412","18,108","32,704","109,616",76.2,63.8,"77,492","270,531","42,887","1,591,235","249,006",246,"7,947",53,"25,586","58,558","$6,782.35","$2,296.38","$5,006.94","$2,190.00",13.3%,4.6%,55.6%,1.7,91.9%,3.2,54.9%,15.2%,27.4%,39.7%,12.30,0.74,36.0%,68.5%,$0.06,$0.02,$0.04,$0.02,$0.85
311,"103,329","94,492","101,640","92,902","24,539","156,287","43,775","103,617","496,905",76.4,"73,751","15,978","12,144","87,201",43.0,50.1,"27,392","82,075","19,027","550,355","57,929",58,"7,615",63,"18,314","48,050","$4,632.19","$1,402.00","$2,786.46",$468.37,11.8%,1.7%,28.0%,0.4,84.4%,1.5,71.4%,15.5%,11.8%,23.7%,4.81,0.53,18.4%,37.1%,$0.04,$0.01,$0.03,$0.00,$0.61
312,"117,452","107,793","112,816","103,514","48,315","394,373","235,426","120,233","1,636,302",143.2,"63,103","16,459","35,125","108,457",62.5,53.3,"96,750","348,414","40,027","2,113,980","293,473",380,"7,875",50,"24,327","57,553","$5,963.06","$1,874.08","$4,648.96","$2,991.60",13.1%,4.0%,59.7%,2.0,92.3%,3.5,53.7%,14.0%,29.9%,41.1%,13.93,0.88,34.1%,74.4%,$0.05,$0.02,$0.04,$0.03,$0.76
313,"115,281","105,857","113,263","103,839","32,267","206,142","72,253","120,844","613,112",49.9,"78,839","18,107","18,433","97,405",33.2,34.5,"44,877","109,819","27,840","714,670","88,557",69,"7,634",56,"22,355","57,476","$5,967.07","$1,813.69","$3,440.72",$640.27,13.2%,1.9%,35.1%,0.6,84.5%,1.8,68.4%,15.7%,16.0%,28.0%,5.32,0.53,24.1%,43.0%,$0.05,$0.02,$0.03,$0.01,$0.78
314,"119,182","109,612","113,769","104,348","50,313","389,146","231,315","121,457","1,460,492",89.3,"63,560","17,292","35,315","109,638",45.0,38.0,"130,939","287,998","50,543","1,437,865","276,261",202,"7,973",53,"23,831","58,795","$5,666.43","$1,987.31","$4,555.86","$1,416.74",13.3%,4.8%,59.4%,1.9,92.0%,3.4,53.3%,14.5%,29.6%,42.2%,12.25,0.74,42.4%,71.0%,$0.05,$0.02,$0.04,$0.01,$0.71
315,"98,544","89,521","95,308","86,579","33,428","245,704","127,859","96,140","1,026,986",122.4,"59,791","13,412","22,256","87,212",62.5,37.4,"74,142","229,885","34,000","1,303,035","162,452",207,"7,091",53,"19,597","47,392","$5,407.46","$2,179.57","$4,102.56","$1,658.76",11.1%,3.3%,52.0%,1.3,88.5%,2.6,60.7%,13.6%,22.6%,33.9%,10.42,0.94,34.5%,66.1%,$0.05,$0.02,$0.04,$0.02,$0.76
316,"101,175","92,452","99,468","90,883","30,265","178,875","67,276","101,468","603,788",61.4,"66,591","16,342","16,825","86,530",29.9,28.8,"54,032","122,174","27,098","641,505","84,292",91,"7,475",60,"17,978","47,297","$4,437.86","$1,484.81","$2,884.09",$619.04,11.6%,1.7%,37.6%,0.7,85.5%,1.8,65.8%,16.2%,16.6%,29.9%,5.97,0.68,26.8%,47.1%,$0.04,$0.01,$0.03,$0.01,$0.59
317,"123,986","114,401","114,246","104,555","54,016","819,411","612,974","121,686","3,021,166",132.8,"64,352","14,888","37,142","114,634",56.7,37.6,"181,847","472,379","45,613","2,046,745","719,361",491,"8,481",48,"30,557","62,426","$13,853.76","$5,061.25","$11,821.92","$3,979.58",13.3%,8.6%,74.8%,4.9,92.5%,7.2,51.9%,12.0%,30.0%,43.6%,24.37,0.58,36.8%,87.8%,$0.11,$0.04,$0.10,$0.03,$1.63
318,"118,518","108,696","114,283","104,472","47,328","317,939","168,536","121,813","1,071,822",66.5,"66,283","18,592","31,938","105,985",42.6,43.7,"41,039","178,713","24,505","1,187,910","209,817",174,"8,031",53,"24,771","58,522","$7,575.79","$2,243.32","$4,647.71","$1,386.07",13.3%,3.9%,53.0%,1.4,89.4%,2.8,55.9%,15.7%,26.9%,39.9%,9.04,0.56,20.7%,66.0%,$0.06,$0.02,$0.04,$0.01,$0.94
319,"115,591","105,815","113,905","104,207","25,582","175,690","44,769","121,536","564,023",77.8,"85,710","17,379","12,364","96,065",49.1,45.0,"37,797","115,158","25,396","799,025","57,912",76,"7,893",58,"19,916","55,101","$3,521.73","$1,083.22","$2,434.29",$588.19,13.3%,1.5%,25.5%,0.4,83.1%,1.5,74.1%,15.0%,10.7%,22.1%,4.88,0.66,22.0%,33.0%,$0.03,$0.01,$0.02,$0.01,$0.45
320,"118,138","108,390","114,376","104,619","43,127","336,486","187,312","121,788","1,100,157",82.5,"70,698","17,511","28,407","104,571",43.7,48.3,"42,493","188,669","27,837","1,294,550","224,803",192,"8,115",56,"22,256","56,374","$4,850.91","$1,537.72","$3,844.31","$1,432.82",13.3%,3.5%,55.7%,1.6,88.5%,2.9,59.8%,14.8%,24.0%,36.5%,9.31,0.56,23.6%,66.8%,$0.04,$0.01,$0.03,$0.01,$0.60
321,"98,939","89,550","96,596","87,347","34,215","209,805","97,787","97,458","708,859",64.5,"60,207","15,464","21,135","85,123",46.0,28.6,"21,790","127,994","16,120","987,240","127,500",122,"7,258",59,"17,228","45,662","$4,277.25","$1,151.70","$2,780.38",$873.70,11.3%,2.5%,46.6%,1.0,86.0%,2.2,60.9%,15.6%,21.4%,34.6%,7.16,0.61,16.3%,60.8%,$0.04,$0.01,$0.03,$0.01,$0.59
322,"117,828","107,903","113,534","103,695","50,170","317,066","171,494","121,026","1,062,149",95.5,"63,153","19,367","33,614","107,110",26.9,26.4,"65,141","202,515","35,432","1,348,005","208,150",173,"8,041",57,"22,381","56,605","$4,576.76","$1,511.79","$3,377.49","$1,349.03",13.2%,3.9%,54.1%,1.5,90.9%,2.8,53.6%,16.4%,28.5%,42.6%,9.01,0.64,30.1%,65.6%,$0.04,$0.01,$0.03,$0.01,$0.57
323,"116,908","106,925","113,995","104,094","37,288","269,196","127,970","121,524","931,024",77.3,"75,671","16,519","24,067","101,616",44.5,37.4,"71,827","185,986","34,872","1,065,175","155,217",126,"8,014",59,"22,325","55,741","$5,044.18","$1,824.13","$3,795.94",$859.59,13.3%,2.6%,47.5%,1.1,86.9%,2.4,64.7%,14.1%,20.6%,31.9%,7.96,0.69,29.8%,57.7%,$0.04,$0.02,$0.03,$0.01,$0.63
324,"118,926","108,871","113,903","103,979","56,061","397,973","238,887","121,374","1,472,401",88.4,"57,111","19,232","39,923","110,264",42.1,41.4,"115,750","290,628","43,175","1,558,325","283,264",200,"8,142",56,"23,834","56,860","$5,882.91","$2,163.01","$4,799.79","$1,497.83",13.3%,4.5%,60.0%,2.0,92.7%,3.5,48.0%,16.2%,33.6%,47.1%,12.38,0.73,36.3%,71.2%,$0.05,$0.02,$0.04,$0.01,$0.72
325,"103,219","93,822","101,153","91,877","27,865","174,704","60,328","103,035","612,534",105.6,"70,190","15,576","15,621","89,227",56.6,37.7,"30,794","123,773","24,619","929,600","77,692",125,"7,836",60,"18,200","47,015","$4,548.29","$1,648.10","$3,105.21",$954.65,11.8%,2.1%,34.5%,0.6,86.4%,1.7,68.0%,15.1%,15.1%,27.0%,5.93,0.71,23.9%,44.5%,$0.04,$0.02,$0.03,$0.01,$0.58
326,"115,951","105,916","113,517","103,685","32,909","208,487","72,235","121,050","784,293",111.3,"77,662","18,814","18,933","101,525",54.2,51.3,"48,072","153,406","28,879","1,057,940","92,882",110,"7,922",60,"20,199","54,241","$3,947.26","$1,213.06","$2,824.77",$810.86,13.2%,2.1%,34.6%,0.6,87.6%,1.8,67.0%,16.2%,16.3%,28.4%,6.76,0.74,24.9%,44.6%,$0.03,$0.01,$0.02,$0.01,$0.50
327,"116,828","106,850","113,699","103,802","38,216","256,687","110,076","121,385","1,025,829",126.9,"72,805","19,044","24,119","103,608",75.9,75.1,"53,885","200,294","29,727","1,273,830","140,217",153,"8,028",59,"21,040","54,894","$4,540.50","$1,489.66","$3,555.96","$1,436.24",13.2%,2.9%,42.9%,0.9,88.7%,2.3,62.3%,16.3%,20.6%,32.7%,8.78,0.78,25.4%,54.6%,$0.04,$0.01,$0.03,$0.01,$0.57
328,"116,985","106,913","112,274","102,517","56,989","394,537","242,729","119,884","1,366,385",82.8,"55,263","17,640","41,696","108,238",32.6,26.4,"97,104","274,867","46,438","1,635,070","291,318",257,"8,029",55,"23,922","56,574","$6,509.72","$2,060.72","$4,580.16","$2,114.00",13.1%,4.1%,61.5%,2.1,92.5%,3.5,47.2%,15.1%,35.6%,48.7%,11.68,0.70,39.7%,73.8%,$0.06,$0.02,$0.04,$0.02,$0.81
329,"114,690","104,819","111,559","101,911","45,566","279,119","139,054","119,151","976,946",94.7,"64,582","18,781","30,300","102,865",40.7,33.6,"58,545","206,578","32,033","1,364,955","173,840",173,"7,832",54,"23,900","56,119","$5,784.17","$1,944.72","$3,839.94","$1,317.16",13.0%,2.8%,49.8%,1.2,89.7%,2.5,56.3%,16.4%,26.4%,39.7%,8.52,0.74,27.9%,62.3%,$0.05,$0.02,$0.03,$0.01,$0.74
330,"117,207","107,410","112,053","102,322","46,494","345,200","195,818","119,379","1,197,215",80.0,"65,808","17,571","31,134","105,109",32.1,44.9,"86,010","228,618","33,431","1,223,150","237,534",190,"8,054",54,"25,466","58,416","$5,782.00","$2,176.68","$4,403.04","$1,483.89",13.1%,4.7%,56.7%,1.7,89.7%,3.1,56.1%,15.0%,26.6%,39.7%,10.21,0.66,28.5%,68.8%,$0.05,$0.02,$0.04,$0.01,$0.72
331,"93,611","84,549","92,013","83,147","17,859","136,311","36,440","92,908","472,227",84.1,"72,129","10,415","9,598","75,543",53.8,54.8,"28,612","97,920","17,175","690,875","49,600",69,"7,164",61,"16,027","42,852","$3,635.18","$1,153.41","$2,327.98",$541.30,10.7%,1.7%,26.7%,0.4,80.7%,1.5,77.1%,11.1%,10.3%,19.1%,5.04,0.72,18.3%,36.4%,$0.04,$0.01,$0.02,$0.01,$0.51
332,"93,863","84,936","90,381","81,790","38,973","279,380","164,515","91,247","990,600",66.1,"50,368","13,512","26,683","83,612",37.1,35.9,"71,265","209,446","32,207","1,216,300","201,106",207,"7,149",58,"16,785","43,182","$4,266.02","$1,353.34","$3,295.34","$1,487.75",10.5%,3.7%,58.9%,1.8,89.1%,3.1,53.7%,14.4%,28.4%,41.5%,10.55,0.75,34.3%,72.0%,$0.05,$0.01,$0.04,$0.02,$0.60
333,"94,928","87,332","92,347","84,753","17,657","178,845","73,250","93,388","549,875",57.4,"74,117","5,428","13,074","74,618",62.5,59.8,"19,048","81,815","8,495","519,470","89,880",102,"7,178",62,"17,262","44,395","$4,403.73","$1,457.47","$2,893.82",$760.86,10.8%,3.0%,41.0%,0.8,78.6%,1.9,78.1%,5.7%,13.8%,18.6%,5.79,0.46,8.9%,50.3%,$0.05,$0.02,$0.03,$0.01,$0.61
334,"94,593","86,924","92,562","84,968","17,368","154,117","52,130","93,673","454,256",75.7,"74,168","7,367","11,333","77,135",32.1,22.6,"21,627","63,421","12,017","380,370","61,510",69,"7,161",69,"13,513","41,580","$2,500.35",$680.28,"$1,855.43",$556.22,10.8%,2.3%,33.8%,0.6,81.5%,1.7,78.4%,7.8%,12.0%,18.4%,4.80,0.41,12.7%,39.9%,$0.03,$0.01,$0.02,$0.01,$0.35
335,"99,977","91,039","97,852","89,072","31,207","178,967","68,842","100,124","570,190",71.5,"64,404","16,546","17,318","85,308",33.4,22.1,"28,206","125,365","18,504","1,016,080","87,581",115,"7,730",71,"12,404","41,224","$2,760.73",$777.13,"$2,152.63",$892.81,11.4%,2.2%,38.5%,0.7,85.3%,1.8,64.4%,16.5%,17.3%,31.2%,5.70,0.70,18.5%,48.9%,$0.03,$0.01,$0.02,$0.01,$0.36
336,"102,939","93,949","97,070","88,357","52,255","375,275","241,691","99,352","1,452,936",96.9,"45,194","15,124","37,408","96,170",45.0,37.8,"97,774","303,248","35,157","1,670,345","298,265",249,"7,982",62,"19,534","46,175","$6,227.05","$2,020.43","$4,811.09","$2,005.03",11.3%,6.0%,64.4%,2.3,93.4%,3.9,43.9%,14.7%,36.3%,50.8%,14.11,0.81,34.2%,79.5%,$0.06,$0.02,$0.05,$0.02,$0.78
337,"97,201","89,484","92,586","84,837","29,325","285,742","167,489","93,682","978,570",69.7,"63,585","9,529","19,810","82,990",44.8,59.6,"58,793","171,603","18,785","734,825","204,704",198,"7,403",65,"20,482","45,256","$6,816.90","$2,564.19","$4,899.83","$1,587.62",10.8%,5.2%,58.6%,1.7,85.4%,3.1,65.4%,9.8%,20.4%,30.2%,10.07,0.60,19.3%,71.6%,$0.07,$0.03,$0.05,$0.02,$0.92
338,"101,030","91,915","96,994","88,200","45,060","298,881","175,385","99,322","1,162,038",99.2,"50,698","15,772","31,052","92,148",39.6,17.6,"81,918","297,203","32,021","1,820,870","216,231",324,"7,914",54,"20,712","47,072","$5,769.18","$1,809.48","$3,893.96","$2,502.33",11.3%,4.0%,58.7%,1.7,91.2%,3.1,50.2%,15.6%,30.7%,44.6%,11.50,0.99,31.7%,72.3%,$0.06,$0.02,$0.04,$0.02,$0.73
339,"101,620","92,714","96,193","87,526","55,557","402,844","269,507","98,407","1,485,515",89.4,"40,947","14,157","41,737","95,505",37.5,10.8,"84,262","295,732","32,682","1,623,980","334,013",355,"8,003",49,"24,392","51,451","$8,235.78","$2,567.01","$5,393.08","$2,776.03",11.2%,5.6%,66.9%,2.7,94.0%,4.2,40.3%,13.9%,41.1%,54.7%,14.62,0.73,32.2%,82.9%,$0.08,$0.03,$0.05,$0.03,$1.03
340,"100,629","91,787","95,810","87,174","44,045","301,006","174,488","98,116","1,200,106",97.9,"50,693","14,569","31,060","92,755",52.5,54.5,"93,337","252,991","34,953","1,230,280","216,651",230,"7,879",49,"23,292","51,047","$7,076.28","$2,226.25","$4,539.70","$1,731.47",11.2%,5.0%,58.0%,1.7,92.2%,3.1,50.4%,14.5%,30.9%,43.8%,11.93,0.84,34.7%,72.0%,$0.07,$0.02,$0.05,$0.02,$0.90
341,"97,412","88,723","95,825","87,252","22,068","140,270","35,365","98,159","435,178",61.4,"71,225","15,473","9,494","79,496",44.4,39.9,"23,234","83,291","14,897","548,830","47,495",84,"7,601",55,"18,734","47,276","$4,184.09","$1,583.82","$2,797.20",$565.08,11.2%,1.7%,25.2%,0.4,81.6%,1.5,73.1%,15.9%,9.7%,22.7%,4.47,0.59,15.3%,33.9%,$0.04,$0.02,$0.03,$0.01,$0.55
342,"100,405","91,747","96,058","87,434","40,542","282,904","158,872","98,287","1,077,625",78.8,"54,572","15,170","26,775","90,462",65.9,68.2,"70,633","216,286","31,851","1,080,895","198,713",213,"7,935",54,"19,800","48,399","$5,090.20","$1,703.19","$4,010.75","$1,500.47",11.2%,4.7%,56.2%,1.6,90.1%,2.9,54.4%,15.1%,26.7%,40.4%,10.73,0.76,31.7%,70.2%,$0.05,$0.02,$0.04,$0.01,$0.64
343,"98,796","90,060","96,322","87,677","27,765","184,594","73,447","98,574","621,026",73.8,"66,630","14,444","15,691","84,198",50.3,52.6,"39,343","115,312","23,460","655,900","92,137",114,"7,777",59,"17,528","46,656","$4,459.36","$1,511.76","$2,963.68",$929.73,11.2%,2.6%,39.8%,0.7,85.2%,1.9,67.4%,14.6%,15.9%,28.1%,6.29,0.62,23.7%,49.9%,$0.05,$0.02,$0.03,$0.01,$0.57
344,"102,127","93,308","97,442","88,668","33,606","312,857","183,735","99,759","1,128,786",82.5,"63,957","12,451","21,488","89,429",57.6,39.6,"71,779","197,408","30,413","1,004,770","220,731",219,"8,093",59,"18,751","47,739","$6,026.43","$2,087.00","$4,871.16","$1,456.51",11.4%,5.0%,58.7%,1.8,87.6%,3.2,62.6%,12.2%,21.0%,32.9%,11.05,0.63,29.8%,70.6%,$0.06,$0.02,$0.05,$0.01,$0.74
345,"100,772","91,781","97,037","88,180","48,505","290,412","168,305","99,276","1,034,520",79.8,"47,650","16,375","33,662","92,240",35.0,19.5,"50,717","214,556","24,221","1,346,615","212,067",201,"7,968",56,"20,171","47,991","$5,630.19","$1,985.63","$4,050.75","$1,489.80",11.3%,3.9%,58.0%,1.7,91.5%,3.0,47.3%,16.2%,33.4%,48.1%,10.27,0.74,24.0%,73.0%,$0.06,$0.02,$0.04,$0.01,$0.71
346,"100,613","91,640","97,171","88,326","43,580","257,664","138,762","99,520","930,325",87.4,"52,319","16,416","29,036","91,466",42.1,35.0,"53,916","198,699","25,189","1,254,430","175,471",215,"7,931",53,"21,275","48,880","$5,027.36","$1,616.30","$3,525.64","$1,405.68",11.3%,3.6%,53.9%,1.4,90.9%,2.7,52.0%,16.3%,28.9%,43.3%,9.25,0.77,25.0%,68.1%,$0.05,$0.02,$0.04,$0.01,$0.63
347,"94,692","86,992","91,722","84,018","26,617","222,382","112,856","92,874","742,055",59.7,"64,300","10,284","17,439","79,747",39.3,36.7,"46,791","139,681","19,492","685,175","136,699",158,"7,303",57,"19,211","45,977","$5,183.69","$1,815.48","$3,623.08","$1,201.16",10.7%,3.4%,50.7%,1.2,84.2%,2.4,67.9%,10.9%,18.4%,28.1%,7.84,0.63,20.6%,61.5%,$0.05,$0.02,$0.04,$0.01,$0.71
